,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
0,725,58,2.0,49,33.43278170333575,6.0,6,14.0,1972,0.31019913,B,B,11,2748,1,900.0,0,0,B,445890.4600097317
1,15856,74,2.0,69,33.21282420864376,3.0,1,1.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,466769.8716010259
2,15664,47,2.0,73,51.940841981703706,9.0,22,22.0,2007,0.101872465,B,B,23,4583,3,900.0,3,3,B,494218.178340388
3,14275,27,1.0,47,43.38756921064506,3.0,17,17.0,2017,0.072157581,B,B,2,629,1,900.0,0,0,A,448551.3595778288
4,7633,53,1.0,40,33.21282420864376,3.0,21,21.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B,449349.13820498285
5,13329,23,2.0,68,64.84302502745639,3.0,2,17.0,1977,0.075778755,B,B,6,1437,3,900.0,0,2,B,463221.19153471745
6,5502,32,2.0,48,32.857643514967585,6.0,5,14.0,1972,0.135649789,B,B,46,7960,6,350.0,3,11,B,464206.10129028535
7,4220,96,3.0,72,45.96875827731828,9.0,17,17.0,1997,0.041116354,B,B,53,14892,4,900.0,1,4,B,500965.46545044205
8,11538,6,3.0,80,47.66025964450599,9.0,13,17.0,2014,0.2432045189999999,B,B,5,1564,0,540.0,0,0,B,499308.209582247
9,15975,61,3.0,64,42.65154108152244,7.0,5,9.0,1981,0.300322518,B,B,52,10311,6,900.0,1,9,B,456620.5894502764
10,3310,6,3.0,84,33.21282420864376,3.0,6,17.0,1977,0.2432045189999999,B,B,5,1564,0,540.0,0,0,B,535155.7166305718
11,9286,3,1.0,34,19.77211048020402,6.0,5,9.0,1971,0.265088676,B,B,37,5288,0,1937.0,3,2,B,449417.993080163
12,11260,46,2.0,46,31.88300844519038,5.0,4,5.0,1968,0.0,B,B,47,11319,0,1145.0,3,5,B,459475.21910443204
13,5214,27,1.0,37,33.21282420864376,3.0,1,1.0,1977,0.2114012139999999,B,B,9,1892,0,900.0,0,1,B,449113.7760507019
14,11307,41,1.0,42,21.46592686704648,9.0,7,14.0,1974,0.036122292,B,B,24,4378,0,1036.0,1,1,B,446069.70188167936
15,13543,167,3.0,80,51.68709687016006,7.0,5,5.0,1959,0.050272014,B,B,21,4231,14,1020.0,0,3,B,494044.0936442761
16,615,90,1.0,40,21.245197252889778,8.0,14,15.0,1976,0.265088676,B,B,37,5288,0,1937.0,3,2,B,448434.5119047836
17,2321,57,2.0,53,33.506643006990615,9.0,5,14.0,2004,0.090799103,B,B,74,19083,2,900.0,5,15,B,465256.6732756588
18,12046,46,1.0,38,21.62984108493286,9.0,12,22.0,2000,0.188783766,B,B,31,6137,4,900.0,0,1,B,446966.8338967754
19,16688,1,1.0,44,33.21282420864376,3.0,1,9.0,1977,0.0071223169999999,B,B,1,264,0,900.0,0,1,B,450380.43512942904
20,12694,27,3.0,83,46.35835603454894,3.0,8,12.0,2015,0.072157581,B,B,2,629,1,900.0,0,0,A,495118.35563682596
21,783,61,1.0,34,18.477327316639123,5.0,5,5.0,1970,0.298204575,B,B,16,4048,3,900.0,1,3,B,445198.82224521384
